,0
0,0
1,126
2,150
3,82
4,133
5,129
6,134
7,249
8,45
9,107
10,54
11,9
12,222
13,75
14,68
15,80
16,139
17,174
18,63
19,14
20,145
21,111
22,78
23,237
24,236
25,188
26,131
27,240
28,88
29,191
30,149
31,217
32,136
33,26
34,187
35,231
36,193
37,246
38,179
39,189
40,224
41,218
42,87
43,59
44,185
45,183
46,205
47,124
48,135
49,166
50,19
51,197
52,128
53,85
54,103
55,209
56,94
57,102
58,20
59,32
60,127
61,35
62,101
63,170
64,214
65,89
66,181
67,123
68,120
69,93
70,70
71,125
72,81
73,144
74,155
75,233
76,232
77,228
78,132
79,175
80,77
81,23
82,55
83,28
84,206
85,74
86,122
87,178
88,27
89,76
90,151
91,227
92,242
93,118
94,158
95,51
96,152
97,247
98,17
99,48
100,184
101,147
102,18
103,113
104,91
105,5
106,86
107,56
108,34
109,225
110,38
111,221
112,196
113,244
114,72
115,42
116,245
117,71
118,190
119,238
120,213
121,69
122,61
123,153
124,22
125,4
126,229
127,194
128,176
129,52
130,58
131,200
132,33
133,130
134,60
135,137
136,99
137,239
138,39
139,146
140,108
141,11
142,160
143,219
144,46
145,220
146,198
147,163
148,114
149,73
150,234
151,154
152,95
153,65
154,180
155,216
156,7
157,31
158,203
159,3
160,207
161,116
162,204
163,248
164,37
165,2
166,161
167,182
168,84
169,212
170,24
171,115
172,92
173,199
174,208
175,21
176,96
177,109
178,10
179,119
180,53
181,1
182,100
183,142
184,29
185,241
186,169
187,157
188,44
189,211
190,41
191,202
192,162
193,104
194,66
195,173
196,90
197,167
198,165
199,106
200,36
201,215
202,235
203,164
204,138
205,148
206,143
207,243
208,8
209,97
210,79
211,25
212,6
213,230
214,67
215,168
216,195
217,177
218,159
219,105
220,49
221,171
222,16
223,223
224,13
225,15
226,43
227,98
228,121
229,50
230,117
231,192
232,186
233,172
234,112
235,30
236,140
237,83
238,64
239,40
240,141
241,57
242,156
243,47
244,62
245,12
246,201
247,210
248,110
249,226
