,0
0,0
1,126
2,150
3,82
4,133
5,129
6,134
7,249
8,45
9,107
10,54
11,222
12,9
13,75
14,68
15,80
16,76
17,139
18,174
19,63
20,55
21,28
22,206
23,23
24,77
25,74
26,122
27,178
28,27
29,175
30,132
31,228
32,232
33,233
34,155
35,144
36,81
37,125
38,70
39,93
40,120
41,181
42,123
43,240
44,131
45,188
46,236
47,237
48,78
49,14
50,145
51,111
52,151
53,227
54,242
55,13
56,136
57,217
58,149
59,88
60,191
61,187
62,26
63,231
64,193
65,101
66,35
67,127
68,20
69,102
70,94
71,209
72,32
73,19
74,166
75,135
76,124
77,205
78,210
79,183
80,185
81,59
82,87
83,218
84,189
85,224
86,179
87,246
88,170
89,214
90,89
91,15
92,43
93,98
94,121
95,64
96,140
97,83
98,30
99,112
100,172
101,186
102,192
103,117
104,50
105,40
106,141
107,57
108,156
109,47
110,12
111,62
112,201
113,72
114,244
115,42
116,245
117,71
118,190
119,238
120,213
121,69
122,61
123,153
124,22
125,4
126,229
127,163
128,198
129,220
130,46
131,219
132,160
133,11
134,108
135,146
136,39
137,99
138,239
139,137
140,60
141,130
142,33
143,200
144,58
145,52
146,176
147,194
148,114
149,73
150,234
151,154
152,95
153,65
154,180
155,216
156,7
157,31
158,204
159,116
160,207
161,3
162,203
163,248
164,37
165,2
166,161
167,182
168,92
169,199
170,208
171,44
172,157
173,169
174,241
175,29
176,100
177,142
178,1
179,53
180,119
181,10
182,109
183,96
184,21
185,115
186,24
187,212
188,84
189,211
190,41
191,202
192,162
193,104
194,66
195,6
196,230
197,67
198,168
199,177
200,195
201,159
202,105
203,49
204,171
205,16
206,118
207,158
208,51
209,152
210,103
211,223
212,247
213,17
214,48
215,184
216,147
217,18
218,113
219,91
220,5
221,85
222,128
223,197
224,196
225,221
226,38
227,225
228,34
229,56
230,86
231,235
232,215
233,36
234,106
235,165
236,167
237,90
238,173
239,79
240,25
241,97
242,8
243,243
244,143
245,148
246,138
247,164
248,110
249,226
