,x,y
0,990,985
1,765,754
2,484,929
3,362,939
4,39,622
5,394,513
6,505,558
7,399,878
8,345,702
9,929,530
10,696,805
11,65,967
12,25,423
13,576,268
14,790,345
15,377,20
16,640,443
17,561,456
18,518,503
19,356,346
20,429,245
21,732,846
22,62,621
23,917,230
24,595,870
25,447,830
26,600,154
27,956,83
28,823,210
29,836,824
30,43,60
31,416,892
32,398,284
33,126,803
34,335,542
35,481,213
36,380,651
37,448,918
38,284,524
39,129,916
40,157,166
41,518,791
42,123,432
43,331,43
44,795,978
45,983,695
46,0,900
47,51,316
48,563,478
49,709,492
50,179,103
51,568,397
52,86,727
53,721,703
54,942,559
55,882,260
56,337,557
57,127,219
58,85,754
59,306,73
60,178,858
61,138,586
62,87,362
63,849,426
64,24,1
65,298,836
66,526,654
67,611,536
68,976,399
69,169,542
70,770,92
71,92,508
72,181,427
73,159,742
74,969,139
75,989,531
76,965,336
77,913,170
78,765,310
79,450,800
80,957,389
81,795,133
82,974,868
83,38,87
84,551,891
85,392,407
86,351,559
87,335,75
88,666,131
89,513,46
90,471,649
91,447,540
92,652,967
93,776,36
94,455,286
95,256,813
96,744,806
97,385,703
98,223,38
99,163,941
100,800,834
101,457,166
102,449,283
103,470,372
104,569,677
105,726,490
106,406,657
107,944,583
108,109,993
109,711,782
110,217,645
111,753,383
112,63,55
113,464,512
114,147,713
115,642,924
116,341,976
117,160,109
118,599,364
119,680,768
120,695,20
121,186,65
122,973,137
123,691,44
124,268,198
125,794,119
126,983,976
127,467,209
128,372,420
129,921,790
130,126,842
131,726,144
132,870,118
133,919,836
134,939,704
135,284,254
136,620,193
137,175,904
138,285,701
139,945,386
140,28,75
141,171,213
142,786,852
143,302,748
144,821,97
145,765,368
146,119,948
147,540,524
148,297,707
149,627,148
150,979,922
151,702,292
152,552,397
153,88,559
154,198,807
155,834,60
156,127,284
157,836,975
158,589,379
159,738,523
160,35,980
161,492,949
162,577,754
163,23,713
164,305,661
165,415,657
166,289,334
167,426,626
168,647,621
169,895,922
170,510,72
171,704,468
172,107,111
173,486,667
174,912,403
175,915,134
176,65,716
177,787,646
178,988,107
179,454,76
180,358,814
181,609,28
182,527,994
183,327,136
184,568,505
185,292,99
186,130,126
187,612,121
188,739,212
189,429,81
190,125,536
191,640,129
192,150,114
193,520,133
194,64,669
195,778,636
196,301,464
197,311,400
198,6,797
199,732,971
200,139,772
201,177,350
202,545,777
203,404,926
204,302,938
205,265,165
206,829,183
207,343,963
208,740,922
209,449,299
210,223,141
211,540,808
212,578,875
213,171,526
214,522,61
215,376,631
216,378,864
217,635,165
218,381,79
219,38,933
220,37,814
221,289,465
222,902,537
223,494,452
224,432,62
225,311,568
226,154,648
227,655,351
228,870,108
229,21,645
230,605,525
231,524,131
232,874,97
233,864,24
234,182,741
235,364,586
236,754,235
237,736,254
238,149,512
239,172,944
240,710,100
241,883,920
242,628,346
243,357,751
244,179,443
245,86,450
246,476,104
247,557,438
248,444,965
249,954,698
