優先度,完売,space,user,tweet,値段,時間,内容,詳細,値段(メロブ),
8,x,西あ30a,https://x.com/okitugu1101,https://x.com/okitugu1101/status/1872287175120953463,1000,?,o,タキオン,1500,500
8,x,西あ30b,https://x.com/nasmt_ndk,https://x.com/nasmt_ndk/status/1872129086023475281,1500,?,o,タキオン,2250,750
6,x,西み40b,https://x.com/0500mL,https://x.com/0500mL/status/1870412737089868231,1000,~),！,physics,1500,500
7,x,東Ａ-43a,https://x.com/oomori_11,https://x.com/oomori_11/status/1872485102686745021,1000(x),?,!,カヨコ,#VALUE!,0
7,x,東A09ab,https://x.com/sune_01,https://x.com/sune_01/status/1870743112064360718,500(x),?,o,ユウカ,#VALUE!,0
8,x,東B19ab,https://x.com/sumutemu_,https://x.com/sumutemu_/status/1871137876928590034,2000(x),?,o,ミカ,#VALUE!,0
6,x,東G06b,https://x.com/BreakCode1015,https://x.com/BreakCode1015/status/1872930488890905030,1500(x),?,!,カズサ、ユウカ,#VALUE!,0
8,x,東Ｈ41ab,https://x.com/AliceFlag,https://x.com/AliceFlag/status/1868867929812660421,1000,?,！,∀,1500,500
7,x,東H58b,https://x.com/phthalow,https://x.com/phthalow/status/1870410017192714386,1000,?,o！,カヨコ,1500,500
8,,東I09b,https://x.com/aKisyafa,https://x.com/aKisyafa/status/1870741564898582581,500,?,!,∀,750,250
6,x,東I33a,https://x.com/Eviprostat,https://x.com/Eviprostat/status/1870589943040622927,500,~),o,trinity,750,250
4,,東I43a,https://x.com/imonabe,https://x.com/imonabe/status/1872233490332479516,500(x),?,o,カヤ、ナギサ,#VALUE!,0
8,x,東I44a,https://x.com/tanaka_drawing,https://x.com/tanaka_drawing/status/1872213255424467110,1200(x),?,o,ナギサ,#VALUE!,0
9,x,東O47a,https://x.com/Seigo_Archive,https://x.com/Seigo_Archive/status/1870673113370771463,2000,~),o,ハルナ、フウカ,3000,0
5,,東P10ab,https://x.com/MOTASOsan,https://x.com/MOTASOsan/status/1871120374576148696,1000(x),?,-!,便利屋,#VALUE!,0
6,x,東ス07a,https://x.com/ryu_Nooblord,https://x.com/ryu_Nooblord/status/1872221896110170314,2000,?,!,zzz,3000,1000
6,,東ス16,https://x.com/6U_s,https://x.com/6U_s/status/1872209208009281878,2500,?,-!,zzz,3750,1250
8,x,東セ08a,https://x.com/Itecsan927,https://x.com/Itecsan927/status/1870352118756061420,1000,?,！,エレン,1500,500
7,,東ソ19b,https://x.com/shukosuko,https://x.com/shukosuko/status/1870423978038501512,1500(x),?,o,花火,#VALUE!,0
8,-,東チ09ab,https://x.com/gmpoo93,https://x.com/gmpoo93/status/1871136187328627135,2500,?,!,胡桃,3750,1250
